x,y,color,bgr_mean(1),bgr_mean(2),bgr_mean(3),bgr_var(1),bgr_var(2),bgr_var(3),gt_x,gt_y
-0.02932373620569706,-0.3322164714336395,red,0.0,0.0,132.36053,0.0,0.0,66.10582,-0.029999810913251695,-0.329999294060776
-0.029333868995308876,-0.272370845079422,red,0.0,0.0,133.21768,0.0,0.0,52.06302,-0.030004965862275225,-0.2699998486621115
-0.02934020198881626,-0.21251186728477478,red,0.0,0.0,133.65192,0.0,0.0,45.11374,-0.03000089865638767,-0.21000000536303776
-0.02216964401304722,-0.1541614532470703,red,0.0,0.0,133.78345,0.0,0.0,43.68351,-0.030004965735709824,-0.15000021248607676
-0.029341289773583412,-0.08925332874059677,red,0.0,0.0,133.8288,0.0,0.0,43.88848,-0.029999855046982837,-0.09000077018773978
0.030517539009451866,-0.33223995566368103,red,0.0,0.0,129.90524,0.0,0.0,101.220665,0.029999811447725715,-0.3299992945779362
0.030514700338244438,-0.2723841965198517,red,0.0,0.0,130.75804,0.0,0.0,87.9647,0.030004966050227427,-0.2699998486649132
0.030513903126120567,-0.21251624822616577,red,0.0,0.0,131.17032,0.0,0.0,80.662384,0.0300037712923257,-0.21000002236903278
0.030515139922499657,-0.1526414155960083,red,0.0,0.0,131.17732,0.0,0.0,81.41219,0.030003257483833447,-0.15000029326527498
0.03437312692403793,-0.09760191291570663,red,0.0,0.0,132.13947,0.0,0.0,69.02339,0.02999981110658302,-0.09000083142564531
0.09037785977125168,-0.33226343989372253,red,0.0,0.0,127.977264,0.0,0.0,128.74622,0.09000017355110305,-0.32999998837825056
0.09038115292787552,-0.27239754796028137,red,0.0,0.0,127.95085,0.0,0.0,132.34415,0.0900048121222385,-0.26999984796243076
0.09038473665714264,-0.21252064406871796,red,0.032136105,0.032136105,128.32135,1.0926344,1.0926344,127.15722,0.09000478172987454,-0.21000002979759105
